[7] ['1', '1', '1', '8', '12'] -> (1 / ((1 / 8) - (1 / 12)))
[11] ['1', '1', '2', '8', '25'] -> ((2 + 25) / ((1 / 8) + 1))
[12] ['1', '1', '1', '8', '26'] -> ((1 + 26) / ((1 / 8) + 1))
[23] ['1', '1', '1', '12', '21'] -> ((1 + 21) / (1 - (1 / 12)))
[24] ['1', '1', '1', '12', '27'] -> ((27 - 1) / ((1 / 12) + 1))
[31] ['1', '1', '4', '16', '17'] -> ((1 + 17) / (1 - (4 / 16)))
[33] ['1', '1', '4', '15', '16'] -> (16 / (1 - ((1 + 4) / 15)))
[59] ['1', '1', '13', '14', '19'] -> (14 / ((19 / (13 - 1)) - 1))
[64] ['1', '1', '11', '18', '27'] -> ((1 + 11) / ((27 / 18) - 1))
[66] ['1', '1', '12', '19', '27'] -> (12 / ((27 / (19 - 1)) - 1))
[67] ['1', '1', '12', '20', '29'] -> (12 / (((1 + 29) / 20) - 1))
[78] ['1', '4', '17', '28', '28'] -> (((1 / 4) + (17 / 28)) * 28)
[82] ['1', '4', '13', '25', '29'] -> ((25 + 29) / ((13 / 4) - 1))
[85] ['1', '5', '12', '29', '29'] -> ((29 + 5) / ((29 / 12) - 1))
[100] ['1', '6', '13', '13', '27'] -> (27 - (6 / ((13 / 13) + 1)))
[105] ['1', '5', '22', '30', '30'] -> (22 / (1 - (5 / (30 + 30))))
[107] ['1', '6', '14', '14', '27'] -> (27 - (6 / ((14 / 14) + 1)))
[110] ['1', '6', '20', '20', '27'] -> (27 - (6 / ((20 / 20) + 1)))
[116] ['1', '6', '21', '22', '22'] -> ((6 / ((22 / 22) + 1)) + 21)
[117] ['1', '6', '21', '23', '23'] -> ((6 / ((23 / 23) + 1)) + 21)
[121] ['1', '7', '8', '18', '18'] -> (8 / ((7 / 18) - (1 / 18)))
[122] ['1', '7', '7', '11', '18'] -> (18 / ((7 / (11 - 7)) - 1))
[125] ['1', '6', '25', '25', '27'] -> (27 - (6 / ((25 / 25) + 1)))
[126] ['1', '6', '26', '26', '27'] -> (27 - (6 / ((26 / 26) + 1)))
[128] ['1', '7', '9', '29', '30'] -> (30 / ((9 / (29 + 7)) + 1))
[133] ['1', '6', '21', '29', '29'] -> ((6 / ((29 / 29) + 1)) + 21)
[134] ['1', '6', '22', '27', '28'] -> (28 - (22 / ((27 / 6) + 1)))
[150] ['1', '7', '14', '19', '19'] -> (14 / ((19 / (19 - 7)) - 1))
[157] ['1', '8', '9', '30', '30'] -> (8 / ((1 / 30) + (9 / 30)))
[159] ['1', '8', '17', '17', '28'] -> (28 - (8 / ((17 / 17) + 1)))
[162] ['1', '8', '19', '19', '28'] -> (28 - (8 / ((19 / 19) + 1)))
[164] ['1', '8', '11', '30', '30'] -> (8 / ((11 / 30) - (1 / 30)))
[165] ['1', '8', '25', '25', '26'] -> ((25 + 26) / ((25 / 8) - 1))
[167] ['1', '8', '28', '29', '29'] -> (28 - (8 / ((29 / 29) + 1)))
[171] ['1', '9', '9', '10', '19'] -> ((10 / ((9 / 9) + 1)) + 19)
[172] ['1', '9', '9', '10', '28'] -> ((28 / ((9 / 9) + 1)) + 10)
[173] ['1', '9', '9', '10', '29'] -> (29 - (10 / ((9 / 9) + 1)))
[177] ['1', '9', '14', '14', '30'] -> ((30 / ((14 / 14) + 1)) + 9)
[182] ['1', '9', '10', '25', '27'] -> ((27 + 9) / ((25 / 10) - 1))
[185] ['1', '9', '16', '16', '30'] -> ((30 / ((16 / 16) + 1)) + 9)
[187] ['1', '8', '23', '23', '28'] -> (28 - (8 / ((23 / 23) + 1)))
[190] ['1', '9', '12', '29', '30'] -> (12 / ((30 / (29 - 9)) - 1))
[191] ['1', '9', '13', '13', '30'] -> ((30 / ((13 / 13) + 1)) + 9)
[192] ['1', '9', '17', '17', '30'] -> ((30 / ((17 / 17) + 1)) + 9)
[194] ['1', '8', '22', '23', '23'] -> ((22 + 23) / ((23 / 8) - 1))
[198] ['1', '10', '10', '10', '19'] -> ((10 / ((10 / 10) + 1)) + 19)
[199] ['1', '10', '10', '10', '29'] -> (29 - (10 / ((10 / 10) + 1)))
[201] ['1', '9', '19', '19', '30'] -> ((30 / ((19 / 19) + 1)) + 9)
[202] ['1', '10', '13', '13', '29'] -> (29 - (10 / ((13 / 13) + 1)))
[203] ['1', '9', '21', '21', '30'] -> ((30 / ((21 / 21) + 1)) + 9)
