5个数算24点唯一解 (范围1-20)
----------------------------------------
[1] ['1', '1', '1', '1', '7'] -> (((1 + 1) + 1) * (1 + 7))
[2] ['1', '1', '1', '1', '9'] -> (((1 + 1) + 1) * (9 - 1))
[3] ['1', '1', '1', '1', '16'] -> (((1 / (1 + 1)) + 1) * 16)
[4] ['1', '1', '1', '2', '17'] -> (((1 / 2) + 1) * (17 - 1))
[5] ['1', '1', '1', '18', '18'] -> ((18 / ((1 + 1) + 1)) + 18)
[6] ['1', '1', '1', '18', '20'] -> (((1 + 1) * (1 + 20)) - 18)
[7] ['1', '1', '1', '13', '15'] -> ((((1 + 1) + 1) * 13) - 15)
[8] ['1', '1', '1', '13', '17'] -> (((1 + 13) / (1 + 1)) + 17)
[9] ['1', '1', '1', '16', '19'] -> (((1 + 1) * (1 + 19)) - 16)
[10] ['1', '1', '6', '13', '20'] -> ((1 - (1 / 13)) * (20 + 6))
[11] ['1', '1', '9', '13', '13'] -> (((13 + 9) / (1 + 1)) + 13)
[12] ['1', '1', '1', '7', '7'] -> (((7 * 7) - 1) / (1 + 1))
[13] ['1', '1', '1', '8', '12'] -> (1 / ((1 / 8) - (1 / 12)))
[14] ['1', '1', '1', '9', '11'] -> ((((1 + 1) + 1) * 11) - 9)
[15] ['1', '1', '1', '9', '19'] -> (((1 + 9) / (1 + 1)) + 19)
[16] ['1', '1', '4', '15', '16'] -> (16 / (1 - ((1 + 4) / 15)))
[17] ['1', '1', '4', '16', '17'] -> ((1 + 17) / (1 - (4 / 16)))
[18] ['1', '1', '10', '10', '18'] -> (((10 + 18) / (1 + 1)) + 10)
[19] ['1', '1', '10', '11', '16'] -> (((10 + 16) / (1 + 1)) + 11)
[20] ['1', '4', '4', '4', '17'] -> (((17 * 4) + 4) / (4 - 1))
[21] ['1', '1', '9', '10', '19'] -> (((19 + 9) / (1 + 1)) + 10)
[22] ['1', '1', '13', '14', '19'] -> (14 / ((19 / (13 - 1)) - 1))
[23] ['1', '1', '11', '11', '15'] -> (((11 + 15) / (1 + 1)) + 11)
[24] ['1', '3', '13', '17', '20'] -> ((((17 * 3) + 1) / 13) + 20)
[25] ['1', '5', '11', '11', '13'] -> (((11 * 13) + 1) / (11 - 5))
[26] ['1', '6', '7', '7', '13'] -> ((((6 + 7) * 13) - 1) / 7)
[27] ['1', '5', '14', '14', '14'] -> ((((14 / 14) + 1) * 5) + 14)
[28] ['1', '5', '15', '19', '19'] -> (((19 * 5) + 1) / (19 - 15))
[29] ['1', '6', '7', '17', '17'] -> (((1 + 17) * 7) - (17 * 6))
[30] ['1', '7', '7', '7', '8'] -> ((((7 + 7) / 7) + 1) * 8)
[31] ['1', '7', '7', '8', '8'] -> ((((7 / 7) + 1) * 8) + 8)
[32] ['1', '6', '12', '17', '17'] -> ((((17 / 17) + 1) * 6) + 12)
[33] ['1', '5', '13', '13', '14'] -> ((((13 / 13) + 1) * 5) + 14)
[34] ['1', '7', '8', '18', '18'] -> (8 / ((7 / 18) - (1 / 18)))
[35] ['1', '7', '10', '10', '14'] -> ((((10 / 7) + 1) * 14) - 10)
[36] ['1', '8', '8', '9', '9'] -> ((((9 / 9) + 1) * 8) + 8)
[37] ['1', '7', '7', '11', '18'] -> (18 / ((7 / (11 - 7)) - 1))
[38] ['1', '7', '7', '11', '19'] -> (((19 * 7) + 11) / (7 - 1))
