[10] ['1', '1', '2', '36'] -> (36 / ((1 / 2) + 1))
[16] ['1', '1', '3', '32'] -> (32 / ((1 / 3) + 1))
[41] ['1', '1', '8', '21'] -> (21 / (1 - (1 / 8)))
[42] ['1', '1', '8', '27'] -> (27 / ((1 / 8) + 1))
[60] ['1', '1', '12', '22'] -> (22 / (1 - (1 / 12)))
[61] ['1', '1', '12', '26'] -> (26 / ((1 / 12) + 1))
[83] ['1', '1', '46', '48'] -> (1 / (1 - (46 / 48)))
[149] ['1', '2', '8', '45'] -> (45 / (2 - (1 / 8)))
[196] ['1', '4', '4', '48'] -> (48 / ((4 / 4) + 1))
[201] ['1', '4', '6', '40'] -> (40 / ((4 / 6) + 1))
[204] ['1', '4', '7', '18'] -> (18 / ((7 / 4) - 1))
[210] ['1', '4', '10', '36'] -> (36 / ((10 / 4) - 1))
[214] ['1', '4', '11', '42'] -> (42 / ((11 / 4) - 1))
[215] ['1', '4', '12', '14'] -> (4 / ((14 / 12) - 1))
[223] ['1', '4', '15', '18'] -> (4 / (1 - (15 / 18)))
[233] ['1', '3', '7', '32'] -> (32 / ((7 / 3) - 1))
[240] ['1', '3', '8', '33'] -> (33 / ((3 / 8) + 1))
[243] ['1', '3', '9', '32'] -> (32 / ((3 / 9) + 1))
[254] ['1', '3', '14', '16'] -> (3 / (1 - (14 / 16)))
[258] ['1', '3', '16', '18'] -> (3 / ((18 / 16) - 1))
[293] ['1', '2', '33', '36'] -> (2 / (1 - (33 / 36)))
[300] ['1', '2', '36', '39'] -> (2 / ((39 / 36) - 1))
[313] ['1', '2', '44', '48'] -> (2 / (1 - (44 / 48)))
[319] ['1', '3', '3', '48'] -> (48 / ((3 / 3) + 1))
[320] ['1', '3', '4', '6'] -> (6 / (1 - (3 / 4)))
[325] ['1', '3', '4', '42'] -> (42 / ((3 / 4) + 1))
[327] ['1', '3', '18', '20'] -> (20 / (1 - (3 / 18)))
[328] ['1', '3', '18', '28'] -> (28 / ((3 / 18) + 1))
[346] ['1', '3', '22', '36'] -> (22 / (1 - (3 / 36)))
[358] ['1', '3', '26', '36'] -> (26 / ((3 / 36) + 1))
[377] ['1', '3', '32', '36'] -> (3 / ((36 / 32) - 1))
[402] ['1', '5', '38', '48'] -> (5 / (1 - (38 / 48)))
[419] ['1', '6', '6', '8'] -> (6 / (1 - (6 / 8)))
[421] ['1', '6', '6', '48'] -> (48 / ((6 / 6) + 1))
[427] ['1', '6', '8', '42'] -> (42 / ((6 / 8) + 1))
[439] ['1', '6', '13', '28'] -> (28 / ((13 / 6) - 1))
[444] ['1', '6', '36', '45'] -> (6 / ((45 / 36) - 1))
[445] ['1', '6', '36', '48'] -> (6 / (1 - (36 / 48)))
[451] ['1', '7', '7', '48'] -> (48 / ((7 / 7) + 1))
[454] ['1', '7', '8', '45'] -> (45 / ((7 / 8) + 1))
[465] ['1', '7', '12', '38'] -> (38 / ((7 / 12) + 1))
[474] ['1', '7', '14', '36'] -> (36 / ((7 / 14) + 1))
